,degree min network-1,degree min network-50,degree min network-100,degree min network-250,degree max network-1,degree max network-50,degree max network-100,degree max network-250,degree av. network-1,degree av. network-50,degree av. network-100,degree av. network-250
2021-07-28,0,0,0,0,3,3,3,11,0.3333333333333333,0.4583333333333333,0.5833333333333334,1.2083333333333333
2021-07-29,0,0,0,0,3,3,3,11,0.2916666666666667,0.4583333333333333,0.5833333333333334,1.2083333333333333
2021-07-30,0,0,0,0,3,3,3,11,0.25,0.4583333333333333,0.5833333333333334,1.2083333333333333
2021-07-31,0,0,0,0,3,3,3,11,0.25,0.4583333333333333,0.5833333333333334,1.2083333333333333
2021-08-01,0,0,0,0,2,3,3,11,0.20833333333333334,0.4583333333333333,0.5833333333333334,1.2083333333333333
2021-08-02,0,0,0,0,2,3,3,11,0.20833333333333334,0.4583333333333333,0.5833333333333334,1.2083333333333333
2021-08-03,0,0,0,0,3,3,3,11,0.25,0.4583333333333333,0.5833333333333334,1.2083333333333333
2021-08-04,0,0,0,0,3,3,3,11,0.25,0.4583333333333333,0.5833333333333334,1.2083333333333333
2021-08-05,0,0,0,0,3,3,3,11,0.25,0.4583333333333333,0.5416666666666666,1.2083333333333333
2021-08-06,0,0,0,0,3,3,3,11,0.25,0.4583333333333333,0.5416666666666666,1.2083333333333333
2021-08-07,0,0,0,0,3,3,3,11,0.25,0.4583333333333333,0.5416666666666666,1.2083333333333333
2021-08-08,0,0,0,0,3,3,3,7,0.25,0.4583333333333333,0.5416666666666666,1.0416666666666667
2021-08-09,0,0,0,0,3,3,3,7,0.25,0.4583333333333333,0.5416666666666666,1.0416666666666667
2021-08-10,0,0,0,0,3,3,3,7,0.25,0.4583333333333333,0.5416666666666666,1.0
2021-08-11,0,0,0,0,3,3,3,7,0.25,0.4583333333333333,0.5416666666666666,0.9583333333333334
2021-08-12,0,0,0,0,2,3,3,7,0.20833333333333334,0.4583333333333333,0.5416666666666666,0.9583333333333334
2021-08-13,0,0,0,0,3,3,3,7,0.25,0.4583333333333333,0.5416666666666666,0.9583333333333334
2021-08-14,0,0,0,0,3,3,3,7,0.25,0.4166666666666667,0.5416666666666666,0.9583333333333334
2021-08-15,0,0,0,0,3,3,3,7,0.25,0.375,0.5416666666666666,0.9583333333333334
2021-08-16,0,0,0,0,3,3,3,7,0.25,0.375,0.5416666666666666,0.9583333333333334
2021-08-17,0,0,0,0,3,3,3,6,0.25,0.375,0.5416666666666666,0.9166666666666666
2021-08-18,0,0,0,0,2,3,3,6,0.20833333333333334,0.375,0.5416666666666666,0.9166666666666666
2021-08-19,0,0,0,0,3,3,3,6,0.25,0.375,0.5416666666666666,0.9166666666666666
2021-08-20,0,0,0,0,3,3,3,6,0.25,0.3333333333333333,0.5416666666666666,0.9166666666666666
2021-08-21,0,0,0,0,3,3,3,6,0.20833333333333334,0.3333333333333333,0.5416666666666666,0.9166666666666666
2021-08-22,0,0,0,0,3,3,3,6,0.20833333333333334,0.3333333333333333,0.5416666666666666,0.9166666666666666
2021-08-23,0,0,0,0,3,3,3,6,0.20833333333333334,0.3333333333333333,0.5416666666666666,0.9166666666666666
2021-08-24,0,0,0,0,3,3,3,6,0.20833333333333334,0.3333333333333333,0.5416666666666666,0.9166666666666666
2021-08-25,0,0,0,0,3,3,3,6,0.20833333333333334,0.3333333333333333,0.5416666666666666,0.9166666666666666
2021-08-26,0,0,0,0,3,3,3,6,0.20833333333333334,0.3333333333333333,0.5,0.9166666666666666
2021-08-27,0,0,0,0,3,3,3,6,0.20833333333333334,0.3333333333333333,0.5,0.9166666666666666
2021-08-28,0,0,0,0,3,3,3,6,0.20833333333333334,0.3333333333333333,0.5,0.9166666666666666
2021-08-29,0,0,0,0,3,3,3,6,0.20833333333333334,0.3333333333333333,0.5,0.9166666666666666
2021-08-30,0,0,0,0,3,3,3,4,0.20833333333333334,0.3333333333333333,0.5,0.7916666666666666
