,jaccard index-1,jaccard index-50,jaccard index-100,jaccard index-250
2016-10-20,0.9568106312292359,0.7815315315315315,0.6939163498098859,0.017077798861480076
2016-10-21,0.9504950495049505,0.7847533632286996,0.6931818181818182,0.017013232514177693
2016-10-22,0.9735099337748344,0.7842696629213484,0.6849056603773584,0.01694915254237288
2016-10-23,0.9764309764309764,0.7820224719101123,0.6849056603773584,0.018832391713747645
2016-10-24,0.9896551724137931,0.7820224719101123,0.6918714555765595,0.02071563088512241
2016-10-25,0.9630872483221476,0.7785234899328859,0.6937618147448015,0.020676691729323307
2016-10-26,0.9606557377049181,0.7834821428571429,0.6924528301886792,0.020637898686679174
2016-10-27,0.9424920127795527,0.7839643652561247,0.6949152542372882,0.020599250936329586
2016-10-28,0.9373040752351097,0.7694013303769401,0.6985018726591761,0.020484171322160148
2016-10-29,0.9745222929936306,0.77728285077951,0.700374531835206,0.020484171322160148
2016-10-30,0.9774193548387097,0.77728285077951,0.701688555347092,0.020484171322160148
2016-10-31,0.9900990099009901,0.7790178571428571,0.701688555347092,0.020484171322160148
2016-11-01,0.970873786407767,0.7721238938053098,0.6964618249534451,0.022181146025878003
2016-11-02,0.9211356466876972,0.7775330396475771,0.6970260223048327,0.02214022140221402
2016-11-03,0.9580645161290322,0.7824175824175824,0.699443413729128,0.02578268876611418
2016-11-04,0.967741935483871,0.7824175824175824,0.7050092764378478,0.02578268876611418
2016-11-05,0.9448051948051948,0.7876106194690266,0.7087198515769945,0.02578268876611418
2016-11-06,0.9695945945945946,0.7920353982300885,0.7142857142857143,0.02578268876611418
2016-11-07,0.9895470383275261,0.7893569844789357,0.7161410018552876,0.027624309392265192
2016-11-08,0.9627118644067797,0.7858719646799117,0.7134935304990758,0.027522935779816515
2016-11-09,0.9798657718120806,0.788546255506608,0.7121771217712177,0.029304029304029304
2016-11-10,0.9731543624161074,0.7942477876106194,0.7040441176470589,0.029197080291970802
2016-11-11,0.9663299663299664,0.7937915742793792,0.7040441176470589,0.029197080291970802
2016-11-12,0.9829931972789115,0.7924107142857143,0.6992619926199262,0.029197080291970802
2016-11-13,0.9828767123287672,0.7834821428571429,0.7029520295202952,0.029197080291970802
2016-11-14,0.9895470383275261,0.785234899328859,0.7005545286506469,0.03102189781021898
2016-11-15,0.9692832764505119,0.7857142857142857,0.7024029574861368,0.03102189781021898
2016-11-16,0.9411764705882353,0.7804878048780488,0.6998158379373849,0.034545454545454546
2016-11-17,0.9642857142857143,0.7709251101321586,0.7077205882352942,0.036297640653357534
2016-11-18,0.9773462783171522,0.7775330396475771,0.7095588235294118,0.036297640653357534
2016-11-19,0.9713375796178344,0.7785087719298246,0.7169117647058824,0.036297640653357534
2016-11-20,0.9903846153846154,0.7631578947368421,0.7232472324723247,0.04900181488203267
