report_agent_lei,total assets,cash,loans,own funds,deposits,securities collateral FINREP,securities collateral SHSG (nominal value),securities collateral SHSG (market value),cash over total assets,loans over total assets,own funds over total assets,deposits over total assets,securities collateral FINREP over total assets,securities collateral SHSG (nominal value) over total assets,securities collateral SHSG (market value) over total assets
9714,4292103000.0,156716000.0,0.0,29104000.0,2627094000.0,0.0,0.0,0.0,0.03651263727827594,0.0,0.0067808251572713885,0.6120761780413937,0.0,0.0,0.0
1827,490047000.0,163580000.0,0.0,30194000.0,305131000.0,0.0,0.0,0.0,0.3338047166904399,0.0,0.06161449820119295,0.6226566023258994,0.0,0.0,0.0
9154,9597208657.42,412799562.33,0.0,163000000.0,4700697248.5,0.0,0.0,0.0,0.0430124609212125,0.0,0.016984105047458557,0.4897983795387939,0.0,0.0,0.0
5594,4762046470.0,196509000.0,0.0,82880000.0,4056689570.0,0.0,0.0,0.0,0.04126566198754461,0.0,0.01740428207119113,0.8518794588747471,0.0,0.0,0.0
12550,1157215493000.0,86220182000.0,74766816000.0,16999806000.0,633831052000.0,32029490000.0,0.0,0.0,0.07450659148753723,0.0646092421439781,0.014690268236842557,0.5477208487391034,0.02767806877262401,0.0,0.0
6726,8798640000.0,3271164000.0,84441000.0,142275000.0,5841306000.0,3000000.0,0.0,0.0,0.3717806388260004,0.009597051362483292,0.016170112653773765,0.6638873735031777,0.00034096178500313685,0.0,0.0
3586,475689160000.0,33827159000.0,21392000.0,5840071000.0,292139104000.0,2790778000.0,0.0,0.0,0.07111189794612936,4.4970543369119445e-05,0.012277073961491997,0.6141386614738078,0.005866810166538165,0.0,0.0
8688,7288730659.0,175822551.0,0.0,89467904.0,3916582728.0,0.0,0.0,0.0,0.02412251998678224,0.0,0.012274826466461147,0.5373477099423163,0.0,0.0,0.0
10362,1298396000.0,17634000.0,0.0,24530000.0,856757000.0,3000000.0,0.0,0.0,0.013581372709096455,0.0,0.01889254125859907,0.6598580094208547,0.0023105431624866374,0.0,0.0
7622,7990465000.0,26205000.0,0.0,143000000.0,6306826000.0,0.0,0.0,0.0,0.0032795337943411305,0.0,0.01789633018854347,0.789293989774062,0.0,0.0,0.0
14770,17530215000.0,95258000.0,0.0,261546000.0,14054608000.0,0.0,0.0,0.0,0.005433932213609474,0.0,0.014919725742097288,0.8017362023226754,0.0,0.0,0.0
2174,26770712000.0,255812000.0,0.0,1295202000.0,17832306000.0,0.0,0.0,0.0,0.009555666655410584,0.0,0.04838130565970752,0.6661125038437529,0.0,0.0,0.0
12642,,,,,,,,,,,,,,,
14023,3885916000.0,17723000.0,0.0,120826000.0,3132647000.0,22498985.0,0.0,0.0,0.004560829415767093,0.0,0.03109331236187298,0.8061540702372362,0.005789879400378186,0.0,0.0
7821,5131774000.0,198890000.0,0.0,51812000.0,3875600000.0,0.0,0.0,0.0,0.0387565781345788,0.0,0.010096313672425949,0.7552164222352739,0.0,0.0,0.0
3947,210506052000.0,1949649000.0,0.0,4046408000.0,183067631000.0,782728234.0,0.0,0.0,0.009261724218741227,0.0,0.019222288202906394,0.8696549541483016,0.0037183170106672276,0.0,0.0
11569,590465636000.0,35739255000.0,39653000.0,9946519000.0,364219954000.0,2790778000.0,0.0,0.0,0.06052723955641002,6.715547456516165e-05,0.016845212309696544,0.616835141274843,0.004726402062795065,0.0,0.0
3405,1208257701590.42,80155494337.0,145467131506.0,1006510338.0,585245946191.0,34838572707.369995,0.0,0.0,0.06633973384278202,0.12039412727477158,0.0008330262134271012,0.4843717904058426,0.02883372699508744,0.0,0.0
697,1897856022362.0,124836585603.0,171713621856.0,2491916000.0,933678136803.0,72036792042.0,0.0,0.0,0.06577769026315974,0.09047768631167906,0.00131301635668793,0.49196468320129966,0.03795693202919878,0.0,0.0
989,1304883237921.0,62003290783.0,88336847546.0,7729008844.0,696844606783.9999,36808406697.0,0.0,0.0,0.047516351640616135,0.06769712797195734,0.0059231421014451936,0.5340283226369317,0.02820819949809827,0.0,0.0
2964,526831112669.0,64480007966.89,85396445584.66002,4986412000.0,277870716305.79,31461232255.649998,0.0,0.0,0.12239217923221214,0.1620945375682725,0.009464915567985612,0.5274379390732223,0.05971787067825778,0.0,0.0
1233,180604978000.0,553734000.0,9287819000.0,337189000.0,67861467000.0,24933298000.0,0.0,0.0,0.0030659952241183517,0.05142615171991549,0.0018669972651584388,0.3757452743079983,0.13805432317596472,0.0,0.0
13378,245679197500.0,19225591000.0,21392000.0,608440000.0,194206194000.0,2790778000.0,0.0,0.0,0.07825485916445979,8.707289920222082e-05,0.0024765629576757307,0.7904869275714725,0.01135943957973894,0.0,0.0
8678,55198048000.0,935679000.0,0.0,890263000.0,33785278000.0,0.0,0.0,0.0,0.016951305959225223,0.0,0.016128523240531985,0.6120737820293936,0.0,0.0,0.0
14431,636306156243.0001,50236413791.0,90845507546.0,7254575000.0,258601170515.0,36697398263.0,0.0,0.0,0.07895006719346453,0.14277012198402625,0.011401076241087847,0.406409977300679,0.05767254945272848,0.0,0.0
