,repo transactions maturity av. network,repo transactions notional av. network,number repo transactions av. network
2017-05-07,10.113507726621021,13870367.524962965,810.0
2017-05-08,9.090969331119695,10162509.91703878,851.0
2017-05-09,,11636025.994033705,890.0
2017-05-10,,10084219.846063694,785.0
2017-05-11,,11187468.40988778,802.0
2017-05-12,,9293122.014764268,806.0
2017-05-13,,8958726.419133574,831.0
2017-05-14,15.193827615193099,8910789.29479798,792.0
2017-05-15,10.523357704721269,9224153.912891395,709.0
2017-05-16,,10613206.834705174,831.0
2017-05-17,,10453224.28237288,826.0
2017-05-18,4.834999220291422,10576373.37756827,769.0
2017-05-19,,9313148.076295547,988.0
2017-05-20,,10265718.832521552,928.0
2017-05-21,,8650608.290985478,964.0
2017-05-22,5.484112809091651,10787461.179954233,874.0
2017-05-23,,8486310.206923926,907.0
2017-05-24,,9629000.91587583,902.0
2017-05-25,13.09978368759566,12069677.7682415,853.0
2017-05-26,,9692231.946891349,994.0
2017-05-27,,11546455.842180904,995.0
2017-05-28,,11175474.016481271,881.0
2017-05-29,,11155381.024285715,987.0
2017-05-30,,13178077.806538463,910.0
2017-05-31,,10644715.159899598,996.0
2017-06-01,,10248866.794214047,1196.0
2017-06-02,,9277707.398368321,1048.0
2017-06-03,,9012774.244962567,935.0
2017-06-04,,9320912.370538244,1059.0
2017-06-05,,12012522.792135075,918.0
2017-06-06,5.593612637832161,9795911.54020649,1017.0
2017-06-07,,8964134.850904925,873.0
2017-06-08,,8570522.18578999,1019.0
2017-06-09,8.405346645339396,11560909.447865283,965.0
2017-06-10,,10625084.664858043,951.0
2017-06-11,,10707486.9975378,926.0
2017-06-12,8.052743883142067,7874183.456854369,1030.0
2017-06-13,8.361060731792405,7618194.797601693,1180.0
2017-06-14,,7276918.349547244,1016.0
2017-06-15,,17479248.43844019,1045.0
2017-06-16,,13768677.170880683,1056.0
2017-06-17,,8626469.834906833,966.0
2017-06-18,6.535023179807845,11714020.4612851,926.0
2017-06-19,48.740977265497754,12143490.14121212,924.0
2017-06-20,6.375648614325703,10803987.451875001,912.0
2017-06-21,,14021547.607578255,1214.0
2017-06-22,,10129020.985254748,1001.0
2017-06-23,,21787401.405764293,857.0
2017-06-24,7.610268157872527,11336058.101770146,757.0
2017-06-25,4.689059617618554,15088954.505496759,926.0
2017-06-26,,11136464.91064767,1158.0
2017-06-27,,10108544.618751546,809.0
2017-06-28,16.635482815083233,12473985.310053708,931.0
2017-06-29,,12219826.135502588,965.0
2017-06-30,,10246110.699133335,900.0
2017-07-01,,10856818.154232008,931.0
2017-07-02,,12637997.890314136,955.0
2017-07-03,,11304316.053778501,921.0
2017-07-04,,12130004.655028835,867.0
2017-07-05,,8783117.181835383,1057.0
